,dates_train,train_predictions,y_train
0,2021-03-25,237579193.11523438,232339996.33789062
1,2021-03-26,235524978.6376953,236479995.72753906
2,2021-03-29,237008056.640625,235240005.49316406
3,2021-03-30,237179580.68847656,231850006.10351562
4,2021-03-31,235216186.5234375,235770004.27246094
5,2021-04-01,236530868.53027344,242350006.10351562
6,2021-04-05,240896652.2216797,249070007.32421875
7,2021-04-06,246394271.85058594,247860000.61035156
8,2021-04-07,247438034.0576172,249899993.89648438
9,2021-04-08,248464279.1748047,253250000.0
10,2021-04-09,251072082.51953125,255850006.10351562
11,2021-04-12,253673934.93652344,255910003.66210938
12,2021-04-13,254486740.1123047,258489990.234375
13,2021-04-14,256232543.9453125,255589996.33789062
14,2021-04-15,255067001.34277344,259500000.0
15,2021-04-16,256846801.7578125,260739990.234375
16,2021-04-19,258772125.24414062,258739990.234375
17,2021-04-20,257851684.5703125,258260009.765625
18,2021-04-21,256963165.28320312,260579986.57226562
19,2021-04-22,258344818.11523438,257170013.42773438
20,2021-04-23,256743957.51953125,261149993.89648438
21,2021-04-26,258434844.97070312,261549987.79296875
22,2021-04-27,259831573.48632812,261970001.22070312
23,2021-04-28,260292755.12695312,254559997.55859375
24,2021-04-29,255480270.3857422,252509994.50683594
25,2021-04-30,252055953.9794922,252179992.67578125
26,2021-05-03,251189041.1376953,251860000.61035156
27,2021-05-04,250870590.20996094,247789993.2861328
28,2021-05-05,248258499.1455078,246470001.22070312
29,2021-05-06,246400894.16503906,249729995.72753906
30,2021-05-07,247986633.30078125,252460006.7138672
31,2021-05-10,250509414.67285156,247179992.67578125
32,2021-05-11,248013107.2998047,246229995.72753906
33,2021-05-12,246110488.89160156,239000000.0
34,2021-05-13,241628463.7451172,243029998.77929688
35,2021-05-14,242192489.62402344,248149993.89648438
36,2021-05-17,246051284.79003906,245179992.67578125
37,2021-05-18,245606552.12402344,243080001.8310547
38,2021-05-19,243707458.49609375,243119995.1171875
39,2021-05-20,243185775.75683594,246479995.72753906
40,2021-05-21,245132278.4423828,245169998.1689453
41,2021-05-24,245183303.8330078,250779998.77929688
42,2021-05-25,248284423.828125,251720001.22070312
43,2021-05-26,250305465.6982422,251490005.49316406
44,2021-05-27,250490859.98535156,249309997.55859375
45,2021-05-28,249086654.66308594,249679992.67578125
46,2021-06-01,248737442.01660156,247399993.89648438
47,2021-06-02,247412582.39746094,247300003.0517578
48,2021-06-03,246772109.98535156,245710006.7138672
49,2021-06-04,245765655.51757812,250789993.2861328
50,2021-06-07,248438293.45703125,253809997.55859375
51,2021-06-08,251634780.88378906,252570007.32421875
52,2021-06-09,251738937.3779297,253589996.33789062
53,2021-06-10,252089508.05664062,257239990.234375
54,2021-06-11,254710067.74902344,257890014.6484375
55,2021-06-14,256185302.734375,259890014.6484375
56,2021-06-15,257753601.07421875,258359985.3515625
57,2021-06-16,257326171.875,257380004.8828125
58,2021-06-17,256259033.203125,260899993.89648438
59,2021-06-18,258297546.38671875,259429992.67578125
60,2021-06-21,258330841.06445312,262630004.8828125
61,2021-06-22,260105224.609375,265510009.765625
62,2021-06-23,263025115.96679688,265269989.01367188
63,2021-06-24,263789642.33398438,266690002.44140625
64,2021-06-25,264745147.70507812,265019989.01367188
65,2021-06-28,264018890.38085938,268720001.2207031
66,2021-06-29,266107238.76953125,271399993.8964844
67,2021-06-30,269151733.3984375,270899993.8964844
68,2021-07-01,269705627.44140625,271600006.1035156
69,2021-07-02,270083099.3652344,277649993.8964844
70,2021-07-06,274666503.90625,277660003.6621094
71,2021-07-07,276668914.7949219,279929992.67578125
72,2021-07-08,278416137.6953125,277420013.4277344
73,2021-07-09,277326873.7792969,277940002.44140625
74,2021-07-12,276912750.2441406,277320007.32421875
75,2021-07-13,276597229.00390625,280980010.9863281
76,2021-07-14,279076354.98046875,282510009.765625
77,2021-07-15,281400573.73046875,281029998.7792969
78,2021-07-16,280866943.359375,280750000.0
79,2021-07-19,280194641.11328125,277010009.765625
80,2021-07-20,277341247.55859375,279320007.32421875
81,2021-07-21,277796875.0,281399993.8964844
82,2021-07-22,280033020.01953125,286140014.6484375
83,2021-07-23,284233276.3671875,289670013.4277344
84,2021-07-26,288412078.8574219,289049987.79296875
85,2021-07-27,289163452.1484375,286540008.5449219
86,2021-07-28,287166564.94140625,286220001.2207031
87,2021-07-29,286110412.59765625,286500000.0
88,2021-07-30,286179840.0878906,284910003.6621094
89,2021-08-02,285097381.5917969,284820007.32421875
90,2021-08-03,284515411.3769531,287119995.1171875
91,2021-08-04,286156005.859375,286510009.765625
92,2021-08-05,286457885.7421875,289519989.0136719
93,2021-08-06,288498046.875,289459991.4550781
94,2021-08-09,289420471.19140625,288329986.5722656
95,2021-08-10,288611297.6074219,286440002.44140625
96,2021-08-11,286858215.33203125,286950012.20703125
97,2021-08-12,286605285.64453125,289809997.55859375
98,2021-08-13,288845031.73828125,292850006.1035156
99,2021-08-16,291993377.6855469,294600006.1035156
100,2021-08-17,294259643.5546875,293079986.5722656
101,2021-08-18,293740417.48046875,290730010.9863281
102,2021-08-19,291579345.703125,296769989.0136719
103,2021-08-20,295195983.88671875,304359985.3515625
104,2021-08-23,302369567.87109375,304649993.8964844
105,2021-08-24,304772216.796875,302619995.1171875
106,2021-08-25,303545501.7089844,302010009.765625
107,2021-08-26,302573577.8808594,299089996.3378906
108,2021-08-27,300345153.80859375,299720001.2207031
109,2021-08-30,299944030.76171875,303589996.3378906
110,2021-08-31,302788818.359375,301880004.8828125
111,2021-09-01,302698242.1875,301829986.5722656
112,2021-09-02,302231689.453125,301149993.8964844
113,2021-09-03,301727172.8515625,301140014.6484375
114,2021-09-07,301527954.1015625,300179992.67578125
115,2021-09-08,300847290.0390625,300209991.4550781
116,2021-09-09,300593902.5878906,297250000.0
117,2021-09-10,298502563.4765625,295709991.4550781
118,2021-09-13,296530334.47265625,296989990.234375
119,2021-09-14,296948181.15234375,299790008.5449219
120,2021-09-15,299304077.1484375,304820007.32421875
121,2021-09-16,303629791.2597656,305220001.2207031
122,2021-09-17,305313598.6328125,299869995.1171875
123,2021-09-20,301801940.91796875,294299987.79296875
124,2021-09-21,296350158.69140625,294799987.79296875
125,2021-09-22,294974121.09375,298579986.5722656
126,2021-09-23,297770233.1542969,299559997.55859375
127,2021-09-24,299601013.18359375,299350006.1035156
128,2021-09-27,299782165.52734375,294170013.4277344
129,2021-09-28,296040863.0371094,283519989.0136719
130,2021-09-29,286681579.58984375,284000000.0
131,2021-09-30,283551239.0136719,281920013.4277344
132,2021-10-01,282044250.48828125,289100006.1035156
133,2021-10-04,286638519.2871094,283109985.3515625
134,2021-10-05,284555114.74609375,288760009.765625
135,2021-10-06,286849060.05859375,293109985.3515625
136,2021-10-07,291795501.7089844,294850006.1035156
137,2021-10-08,294508239.74609375,294850006.1035156
138,2021-10-11,295100280.76171875,294230010.9863281
139,2021-10-12,294673736.5722656,292880004.8828125
140,2021-10-13,293505126.953125,296309997.55859375
141,2021-10-14,295554748.53515625,302750000.0
142,2021-10-15,301143310.546875,304209991.4550781
143,2021-10-18,304031066.89453125,307290008.5449219
144,2021-10-19,306571777.34375,308230010.9863281
145,2021-10-20,308004150.390625,307410003.6621094
146,2021-10-21,307730499.2675781,310760009.765625
147,2021-10-22,309717834.47265625,309160003.6621094
148,2021-10-25,309490325.9277344,308130004.8828125
149,2021-10-26,308466430.6640625,310109985.3515625
150,2021-10-27,309485229.4921875,323170013.4277344
151,2021-10-28,317821350.09765625,324350006.1035156
152,2021-10-29,320919158.9355469,331619995.1171875
153,2021-11-01,324767700.1953125,329369995.1171875
